timestamp,cpu_percent
1718192618.007942,"[6.2, 0.0, 0.0, 0.0, 0.0, 46.2, 53.1, 1.6, 0.0, 0.0, 0.0, 0.0]"
1718192619.0189412,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0, 0.0, 0.0]"
1718192620.027343,"[0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 100.0, 1.5, 0.0, 0.0, 0.0, 1.5]"
1718192621.0393424,"[0.0, 1.6, 0.0, 1.6, 1.6, 1.6, 100.0, 0.0, 0.0, 1.6, 0.0, 0.0]"
1718192622.050702,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0, 0.0, 0.0]"
1718192623.0587013,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0, 0.0, 0.0]"
1718192624.0665786,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.6, 0.0, 0.0, 0.0, 0.0]"
1718192625.079578,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 4.6, 0.0, 0.0, 0.0, 0.0]"
1718192626.0917122,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0, 1.5, 0.0]"
1718192627.0997114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192628.1123438,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192629.1203427,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192630.1295974,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192631.1375978,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192632.1464095,"[1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192633.1574109,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.4, 67.2, 0.0, 1.5, 1.5, 0.0]"
1718192634.160646,"[0.0, 1.6, 3.1, 0.0, 3.1, 3.1, 23.4, 100.0, 0.0, 0.0, 3.1, 1.6]"
1718192635.1666448,"[1.6, 3.1, 1.6, 3.1, 3.1, 3.1, 23.4, 100.0, 0.0, 1.6, 4.7, 0.0]"
1718192636.174059,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 23.1, 100.0, 1.5, 1.5, 0.0, 0.0]"
1718192637.1790576,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 100.0, 0.0, 3.1, 0.0, 0.0]"
1718192638.1856225,"[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192639.195621,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192640.2030752,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192641.2139466,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 100.0, 0.0, 0.0, 1.6, 0.0]"
1718192642.2209454,"[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 13.8, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192643.2321398,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.8, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192644.243139,"[1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 21.9, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192645.250683,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192646.2616827,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192647.2696333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 100.0, 0.0, 0.0, 0.0, 0.0]"
1718192648.275696,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 23.1, 78.1, 0.0, 0.0, 0.0]"
1718192649.2814653,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192650.2944646,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192651.3070035,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192652.318003,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0]"
1718192653.3253105,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192654.335309,"[0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192655.3447604,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192656.3527594,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192657.3623538,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192658.3733544,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0]"
1718192659.3848548,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192660.3948538,"[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0]"
1718192661.4025457,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
1718192662.4145443,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1.6, 0.0, 0.0]"
1718192663.4247746,"[4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 92.3, 0.0, 0.0]"
1718192664.433775,"[10.6, 1.5, 0.0, 1.5, 0.0, 1.5, 0.0, 4.5, 0.0, 100.0, 1.5, 0.0]"
1718192665.4442937,"[9.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0]"
1718192666.4508898,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 100.0, 0.0, 0.0]"
